Threshold: 0.10, Accuracy: 61.93%, Precision: 59.58%, Recall: 98.18%, F1 Score: 74.16%
Threshold: 0.11, Accuracy: 62.34%, Precision: 59.84%, Recall: 98.18%, F1 Score: 74.36%
Threshold: 0.12, Accuracy: 62.64%, Precision: 60.07%, Recall: 97.99%, F1 Score: 74.48%
Threshold: 0.13, Accuracy: 62.74%, Precision: 60.18%, Recall: 97.63%, F1 Score: 74.46%
Threshold: 0.14, Accuracy: 62.84%, Precision: 60.25%, Recall: 97.63%, F1 Score: 74.51%
Threshold: 0.15, Accuracy: 63.05%, Precision: 60.38%, Recall: 97.63%, F1 Score: 74.62%
Threshold: 0.16, Accuracy: 63.55%, Precision: 60.73%, Recall: 97.63%, F1 Score: 74.88%
Threshold: 0.17, Accuracy: 63.55%, Precision: 60.75%, Recall: 97.45%, F1 Score: 74.84%
Threshold: 0.18, Accuracy: 64.16%, Precision: 61.17%, Recall: 97.45%, F1 Score: 75.16%
Threshold: 0.19, Accuracy: 64.57%, Precision: 61.45%, Recall: 97.45%, F1 Score: 75.37%
Threshold: 0.20, Accuracy: 64.67%, Precision: 61.55%, Recall: 97.26%, F1 Score: 75.39%
Threshold: 0.21, Accuracy: 64.97%, Precision: 61.79%, Recall: 97.08%, F1 Score: 75.51%
Threshold: 0.22, Accuracy: 65.28%, Precision: 62.00%, Recall: 97.08%, F1 Score: 75.68%
Threshold: 0.23, Accuracy: 65.89%, Precision: 62.50%, Recall: 96.72%, F1 Score: 75.93%
Threshold: 0.24, Accuracy: 65.69%, Precision: 62.50%, Recall: 95.80%, F1 Score: 75.65%
Threshold: 0.25, Accuracy: 65.79%, Precision: 62.70%, Recall: 95.07%, F1 Score: 75.56%
Threshold: 0.26, Accuracy: 65.79%, Precision: 62.79%, Recall: 94.53%, F1 Score: 75.46%
Threshold: 0.27, Accuracy: 65.89%, Precision: 62.93%, Recall: 94.16%, F1 Score: 75.44%
Threshold: 0.28, Accuracy: 65.79%, Precision: 62.98%, Recall: 93.43%, F1 Score: 75.24%
Threshold: 0.29, Accuracy: 66.19%, Precision: 63.32%, Recall: 93.25%, F1 Score: 75.42%
Threshold: 0.30, Accuracy: 65.79%, Precision: 63.20%, Recall: 92.15%, F1 Score: 74.98%
Threshold: 0.31, Accuracy: 65.48%, Precision: 63.07%, Recall: 91.61%, F1 Score: 74.70%
Threshold: 0.32, Accuracy: 65.28%, Precision: 63.04%, Recall: 90.88%, F1 Score: 74.44%
Threshold: 0.33, Accuracy: 65.69%, Precision: 63.39%, Recall: 90.69%, F1 Score: 74.62%
Threshold: 0.34, Accuracy: 65.79%, Precision: 63.58%, Recall: 90.15%, F1 Score: 74.57%
Threshold: 0.35, Accuracy: 66.29%, Precision: 64.14%, Recall: 89.42%, F1 Score: 74.70%
Threshold: 0.36, Accuracy: 66.29%, Precision: 64.36%, Recall: 88.32%, F1 Score: 74.46%
Threshold: 0.37, Accuracy: 65.89%, Precision: 64.25%, Recall: 87.23%, F1 Score: 73.99%
Threshold: 0.38, Accuracy: 66.40%, Precision: 64.72%, Recall: 87.04%, F1 Score: 74.24%
Threshold: 0.39, Accuracy: 66.29%, Precision: 64.79%, Recall: 86.31%, F1 Score: 74.02%
Threshold: 0.40, Accuracy: 66.50%, Precision: 65.14%, Recall: 85.58%, F1 Score: 73.97%
Threshold: 0.41, Accuracy: 66.90%, Precision: 65.68%, Recall: 84.85%, F1 Score: 74.04%
Threshold: 0.42, Accuracy: 66.90%, Precision: 65.77%, Recall: 84.49%, F1 Score: 73.96%
Threshold: 0.43, Accuracy: 66.70%, Precision: 65.99%, Recall: 82.85%, F1 Score: 73.46%
Threshold: 0.44, Accuracy: 66.90%, Precision: 66.32%, Recall: 82.30%, F1 Score: 73.45%
Threshold: 0.45, Accuracy: 66.80%, Precision: 66.42%, Recall: 81.57%, F1 Score: 73.22%
Threshold: 0.46, Accuracy: 66.80%, Precision: 66.62%, Recall: 80.84%, F1 Score: 73.04%
Threshold: 0.47, Accuracy: 65.99%, Precision: 66.21%, Recall: 79.38%, F1 Score: 72.20%
Threshold: 0.48, Accuracy: 66.29%, Precision: 66.72%, Recall: 78.65%, F1 Score: 72.19%
Threshold: 0.49, Accuracy: 65.99%, Precision: 66.77%, Recall: 77.37%, F1 Score: 71.68%
Threshold: 0.50, Accuracy: 66.29%, Precision: 67.20%, Recall: 77.01%, F1 Score: 71.77%
Threshold: 0.51, Accuracy: 66.90%, Precision: 68.26%, Recall: 75.73%, F1 Score: 71.80%
Threshold: 0.52, Accuracy: 66.40%, Precision: 68.30%, Recall: 73.91%, F1 Score: 70.99%
Threshold: 0.53, Accuracy: 65.69%, Precision: 68.23%, Recall: 71.72%, F1 Score: 69.93%
Threshold: 0.54, Accuracy: 65.58%, Precision: 68.50%, Recall: 70.62%, F1 Score: 69.54%
Threshold: 0.55, Accuracy: 64.87%, Precision: 68.23%, Recall: 68.98%, F1 Score: 68.60%
Threshold: 0.56, Accuracy: 64.67%, Precision: 68.66%, Recall: 67.15%, F1 Score: 67.90%
