Threshold: 0.10, Accuracy: 60.41%, Precision: 57.27%, Recall: 98.46%, F1 Score: 72.42%
Threshold: 0.11, Accuracy: 60.71%, Precision: 57.51%, Recall: 97.88%, F1 Score: 72.46%
Threshold: 0.12, Accuracy: 61.22%, Precision: 57.84%, Recall: 97.88%, F1 Score: 72.71%
Threshold: 0.13, Accuracy: 61.73%, Precision: 58.21%, Recall: 97.50%, F1 Score: 72.90%
Threshold: 0.14, Accuracy: 62.23%, Precision: 58.56%, Recall: 97.31%, F1 Score: 73.12%
Threshold: 0.15, Accuracy: 62.54%, Precision: 58.77%, Recall: 97.31%, F1 Score: 73.28%
Threshold: 0.16, Accuracy: 63.05%, Precision: 59.11%, Recall: 97.31%, F1 Score: 73.55%
Threshold: 0.17, Accuracy: 63.25%, Precision: 59.29%, Recall: 96.92%, F1 Score: 73.58%
Threshold: 0.18, Accuracy: 63.25%, Precision: 59.36%, Recall: 96.35%, F1 Score: 73.46%
Threshold: 0.19, Accuracy: 63.45%, Precision: 59.55%, Recall: 95.96%, F1 Score: 73.49%
Threshold: 0.20, Accuracy: 63.35%, Precision: 59.50%, Recall: 95.77%, F1 Score: 73.40%
Threshold: 0.21, Accuracy: 63.76%, Precision: 59.78%, Recall: 95.77%, F1 Score: 73.61%
Threshold: 0.22, Accuracy: 63.86%, Precision: 59.95%, Recall: 95.00%, F1 Score: 73.51%
Threshold: 0.23, Accuracy: 64.37%, Precision: 60.39%, Recall: 94.42%, F1 Score: 73.67%
Threshold: 0.24, Accuracy: 64.47%, Precision: 60.52%, Recall: 94.04%, F1 Score: 73.64%
Threshold: 0.25, Accuracy: 64.67%, Precision: 60.78%, Recall: 93.27%, F1 Score: 73.60%
Threshold: 0.26, Accuracy: 65.08%, Precision: 61.17%, Recall: 92.69%, F1 Score: 73.70%
Threshold: 0.27, Accuracy: 64.77%, Precision: 61.05%, Recall: 91.92%, F1 Score: 73.37%
Threshold: 0.28, Accuracy: 65.18%, Precision: 61.39%, Recall: 91.73%, F1 Score: 73.55%
Threshold: 0.29, Accuracy: 64.87%, Precision: 61.30%, Recall: 90.77%, F1 Score: 73.18%
Threshold: 0.30, Accuracy: 65.18%, Precision: 61.57%, Recall: 90.58%, F1 Score: 73.31%
Threshold: 0.31, Accuracy: 65.48%, Precision: 61.90%, Recall: 90.00%, F1 Score: 73.35%
Threshold: 0.32, Accuracy: 65.58%, Precision: 62.08%, Recall: 89.42%, F1 Score: 73.29%
Threshold: 0.33, Accuracy: 65.89%, Precision: 62.47%, Recall: 88.65%, F1 Score: 73.29%
Threshold: 0.34, Accuracy: 65.79%, Precision: 62.62%, Recall: 87.31%, F1 Score: 72.93%
Threshold: 0.35, Accuracy: 65.99%, Precision: 62.87%, Recall: 86.92%, F1 Score: 72.96%
Threshold: 0.36, Accuracy: 65.99%, Precision: 63.12%, Recall: 85.58%, F1 Score: 72.65%
Threshold: 0.37, Accuracy: 66.09%, Precision: 63.32%, Recall: 85.00%, F1 Score: 72.58%
Threshold: 0.38, Accuracy: 66.19%, Precision: 63.65%, Recall: 83.85%, F1 Score: 72.37%
Threshold: 0.39, Accuracy: 66.19%, Precision: 63.85%, Recall: 82.88%, F1 Score: 72.13%
Threshold: 0.40, Accuracy: 66.50%, Precision: 64.26%, Recall: 82.31%, F1 Score: 72.18%
Threshold: 0.41, Accuracy: 66.60%, Precision: 64.67%, Recall: 80.96%, F1 Score: 71.90%
Threshold: 0.42, Accuracy: 66.50%, Precision: 64.94%, Recall: 79.42%, F1 Score: 71.45%
Threshold: 0.43, Accuracy: 66.29%, Precision: 65.11%, Recall: 77.88%, F1 Score: 70.93%
Threshold: 0.44, Accuracy: 65.79%, Precision: 65.12%, Recall: 75.77%, F1 Score: 70.04%
Threshold: 0.45, Accuracy: 65.58%, Precision: 65.31%, Recall: 74.23%, F1 Score: 69.49%
