Threshold: 0.10, Accuracy: 63.55%, Precision: 60.64%, Recall: 97.25%, F1 Score: 74.70%
Threshold: 0.11, Accuracy: 63.86%, Precision: 60.87%, Recall: 97.06%, F1 Score: 74.82%
Threshold: 0.12, Accuracy: 64.37%, Precision: 61.28%, Recall: 96.70%, F1 Score: 75.02%
Threshold: 0.13, Accuracy: 64.57%, Precision: 61.45%, Recall: 96.51%, F1 Score: 75.09%
Threshold: 0.14, Accuracy: 64.26%, Precision: 61.34%, Recall: 95.78%, F1 Score: 74.79%
Threshold: 0.15, Accuracy: 64.57%, Precision: 61.58%, Recall: 95.60%, F1 Score: 74.91%
Threshold: 0.16, Accuracy: 64.37%, Precision: 61.58%, Recall: 94.68%, F1 Score: 74.62%
Threshold: 0.17, Accuracy: 64.16%, Precision: 61.59%, Recall: 93.58%, F1 Score: 74.29%
Threshold: 0.18, Accuracy: 63.96%, Precision: 61.59%, Recall: 92.66%, F1 Score: 73.99%
Threshold: 0.19, Accuracy: 64.37%, Precision: 61.92%, Recall: 92.48%, F1 Score: 74.17%
Threshold: 0.20, Accuracy: 64.57%, Precision: 62.13%, Recall: 92.11%, F1 Score: 74.21%
Threshold: 0.21, Accuracy: 64.57%, Precision: 62.25%, Recall: 91.38%, F1 Score: 74.05%
Threshold: 0.22, Accuracy: 64.47%, Precision: 62.26%, Recall: 90.83%, F1 Score: 73.88%
Threshold: 0.23, Accuracy: 64.47%, Precision: 62.36%, Recall: 90.28%, F1 Score: 73.76%
Threshold: 0.24, Accuracy: 64.57%, Precision: 62.47%, Recall: 90.09%, F1 Score: 73.78%
Threshold: 0.25, Accuracy: 64.87%, Precision: 62.77%, Recall: 89.72%, F1 Score: 73.87%
Threshold: 0.26, Accuracy: 65.08%, Precision: 62.97%, Recall: 89.54%, F1 Score: 73.94%
Threshold: 0.27, Accuracy: 65.28%, Precision: 63.16%, Recall: 89.36%, F1 Score: 74.01%
Threshold: 0.28, Accuracy: 65.69%, Precision: 63.53%, Recall: 89.17%, F1 Score: 74.20%
Threshold: 0.29, Accuracy: 65.69%, Precision: 63.67%, Recall: 88.44%, F1 Score: 74.04%
Threshold: 0.30, Accuracy: 65.69%, Precision: 63.82%, Recall: 87.71%, F1 Score: 73.88%
Threshold: 0.31, Accuracy: 65.28%, Precision: 63.66%, Recall: 86.79%, F1 Score: 73.45%
Threshold: 0.32, Accuracy: 65.38%, Precision: 63.90%, Recall: 86.06%, F1 Score: 73.34%
Threshold: 0.33, Accuracy: 65.38%, Precision: 63.97%, Recall: 85.69%, F1 Score: 73.25%
Threshold: 0.34, Accuracy: 65.08%, Precision: 63.98%, Recall: 84.40%, F1 Score: 72.78%
Threshold: 0.35, Accuracy: 65.08%, Precision: 64.14%, Recall: 83.67%, F1 Score: 72.61%
Threshold: 0.36, Accuracy: 65.18%, Precision: 64.39%, Recall: 82.94%, F1 Score: 72.49%
Threshold: 0.37, Accuracy: 65.48%, Precision: 64.83%, Recall: 82.20%, F1 Score: 72.49%
Threshold: 0.38, Accuracy: 65.69%, Precision: 65.15%, Recall: 81.65%, F1 Score: 72.48%
Threshold: 0.39, Accuracy: 65.38%, Precision: 65.13%, Recall: 80.55%, F1 Score: 72.03%
Threshold: 0.40, Accuracy: 65.08%, Precision: 65.30%, Recall: 78.72%, F1 Score: 71.38%
Threshold: 0.41, Accuracy: 65.08%, Precision: 65.68%, Recall: 77.25%, F1 Score: 70.99%
Threshold: 0.42, Accuracy: 65.38%, Precision: 66.04%, Recall: 77.06%, F1 Score: 71.13%
Threshold: 0.43, Accuracy: 65.69%, Precision: 66.51%, Recall: 76.51%, F1 Score: 71.16%
Threshold: 0.44, Accuracy: 65.79%, Precision: 66.83%, Recall: 75.78%, F1 Score: 71.02%
Threshold: 0.45, Accuracy: 65.79%, Precision: 67.05%, Recall: 75.05%, F1 Score: 70.82%
Threshold: 0.46, Accuracy: 65.89%, Precision: 67.50%, Recall: 73.94%, F1 Score: 70.58%
Threshold: 0.47, Accuracy: 65.89%, Precision: 68.05%, Recall: 72.29%, F1 Score: 70.11%
Threshold: 0.48, Accuracy: 65.69%, Precision: 68.32%, Recall: 70.83%, F1 Score: 69.55%
Threshold: 0.49, Accuracy: 65.18%, Precision: 68.30%, Recall: 69.17%, F1 Score: 68.73%
Threshold: 0.50, Accuracy: 64.97%, Precision: 68.52%, Recall: 67.89%, F1 Score: 68.20%
Threshold: 0.51, Accuracy: 64.77%, Precision: 68.89%, Recall: 66.24%, F1 Score: 67.54%
Threshold: 0.52, Accuracy: 64.57%, Precision: 69.22%, Recall: 64.77%, F1 Score: 66.92%
Threshold: 0.53, Accuracy: 64.57%, Precision: 69.76%, Recall: 63.49%, F1 Score: 66.47%
Threshold: 0.54, Accuracy: 64.37%, Precision: 70.04%, Recall: 62.20%, F1 Score: 65.89%
Threshold: 0.55, Accuracy: 64.16%, Precision: 70.34%, Recall: 60.92%, F1 Score: 65.29%
Threshold: 0.56, Accuracy: 63.86%, Precision: 71.05%, Recall: 58.53%, F1 Score: 64.19%
Threshold: 0.57, Accuracy: 62.94%, Precision: 70.93%, Recall: 55.96%, F1 Score: 62.56%
Threshold: 0.58, Accuracy: 62.44%, Precision: 71.19%, Recall: 53.94%, F1 Score: 61.38%
Threshold: 0.59, Accuracy: 61.22%, Precision: 70.63%, Recall: 51.19%, F1 Score: 59.36%
Threshold: 0.60, Accuracy: 61.12%, Precision: 71.43%, Recall: 49.54%, F1 Score: 58.50%
Threshold: 0.61, Accuracy: 60.51%, Precision: 71.79%, Recall: 47.16%, F1 Score: 56.92%
Threshold: 0.62, Accuracy: 60.71%, Precision: 73.10%, Recall: 45.87%, F1 Score: 56.37%
Threshold: 0.63, Accuracy: 60.51%, Precision: 74.53%, Recall: 43.49%, F1 Score: 54.92%
Threshold: 0.64, Accuracy: 60.10%, Precision: 75.17%, Recall: 41.65%, F1 Score: 53.60%
