Threshold: 0.10, Accuracy: 60.91%, Precision: 57.71%, Recall: 99.24%, F1 Score: 72.98%
Threshold: 0.11, Accuracy: 61.22%, Precision: 57.91%, Recall: 99.24%, F1 Score: 73.14%
Threshold: 0.12, Accuracy: 61.02%, Precision: 57.83%, Recall: 98.66%, F1 Score: 72.92%
Threshold: 0.13, Accuracy: 60.81%, Precision: 57.74%, Recall: 98.28%, F1 Score: 72.74%
Threshold: 0.14, Accuracy: 61.12%, Precision: 57.93%, Recall: 98.28%, F1 Score: 72.89%
Threshold: 0.15, Accuracy: 61.42%, Precision: 58.13%, Recall: 98.28%, F1 Score: 73.05%
Threshold: 0.16, Accuracy: 61.83%, Precision: 58.39%, Recall: 98.28%, F1 Score: 73.26%
Threshold: 0.17, Accuracy: 62.44%, Precision: 58.79%, Recall: 98.28%, F1 Score: 73.57%
Threshold: 0.18, Accuracy: 62.54%, Precision: 58.90%, Recall: 97.90%, F1 Score: 73.55%
Threshold: 0.19, Accuracy: 62.54%, Precision: 58.94%, Recall: 97.52%, F1 Score: 73.47%
Threshold: 0.20, Accuracy: 62.84%, Precision: 59.16%, Recall: 97.33%, F1 Score: 73.59%
Threshold: 0.21, Accuracy: 63.05%, Precision: 59.32%, Recall: 97.14%, F1 Score: 73.66%
Threshold: 0.22, Accuracy: 63.25%, Precision: 59.51%, Recall: 96.76%, F1 Score: 73.69%
Threshold: 0.23, Accuracy: 63.05%, Precision: 59.43%, Recall: 96.18%, F1 Score: 73.47%
Threshold: 0.24, Accuracy: 63.35%, Precision: 59.69%, Recall: 95.80%, F1 Score: 73.55%
Threshold: 0.25, Accuracy: 63.35%, Precision: 59.76%, Recall: 95.23%, F1 Score: 73.44%
Threshold: 0.26, Accuracy: 63.65%, Precision: 60.02%, Recall: 94.85%, F1 Score: 73.52%
Threshold: 0.27, Accuracy: 64.06%, Precision: 60.42%, Recall: 94.08%, F1 Score: 73.58%
Threshold: 0.28, Accuracy: 64.26%, Precision: 60.64%, Recall: 93.51%, F1 Score: 73.57%
Threshold: 0.29, Accuracy: 64.26%, Precision: 60.72%, Recall: 92.94%, F1 Score: 73.45%
Threshold: 0.30, Accuracy: 64.47%, Precision: 61.01%, Recall: 91.98%, F1 Score: 73.36%
Threshold: 0.31, Accuracy: 64.77%, Precision: 61.33%, Recall: 91.41%, F1 Score: 73.41%
Threshold: 0.32, Accuracy: 65.18%, Precision: 61.71%, Recall: 91.03%, F1 Score: 73.55%
Threshold: 0.33, Accuracy: 65.58%, Precision: 62.06%, Recall: 90.84%, F1 Score: 73.74%
Threshold: 0.34, Accuracy: 65.69%, Precision: 62.33%, Recall: 89.69%, F1 Score: 73.55%
Threshold: 0.35, Accuracy: 66.40%, Precision: 63.13%, Recall: 88.55%, F1 Score: 73.71%
Threshold: 0.36, Accuracy: 66.40%, Precision: 63.27%, Recall: 87.79%, F1 Score: 73.54%
Threshold: 0.37, Accuracy: 67.21%, Precision: 64.14%, Recall: 87.02%, F1 Score: 73.85%
Threshold: 0.38, Accuracy: 66.60%, Precision: 64.03%, Recall: 84.92%, F1 Score: 73.01%
Threshold: 0.39, Accuracy: 66.50%, Precision: 64.35%, Recall: 83.02%, F1 Score: 72.50%
Threshold: 0.40, Accuracy: 66.29%, Precision: 64.46%, Recall: 81.68%, F1 Score: 72.05%
Threshold: 0.41, Accuracy: 65.89%, Precision: 64.46%, Recall: 79.96%, F1 Score: 71.38%
Threshold: 0.42, Accuracy: 65.99%, Precision: 65.17%, Recall: 77.48%, F1 Score: 70.79%
Threshold: 0.43, Accuracy: 65.99%, Precision: 65.57%, Recall: 75.95%, F1 Score: 70.38%
Threshold: 0.44, Accuracy: 65.38%, Precision: 65.64%, Recall: 73.28%, F1 Score: 69.25%
Threshold: 0.45, Accuracy: 65.08%, Precision: 65.68%, Recall: 71.95%, F1 Score: 68.67%
Threshold: 0.46, Accuracy: 64.97%, Precision: 66.24%, Recall: 69.66%, F1 Score: 67.91%
Threshold: 0.47, Accuracy: 65.58%, Precision: 67.23%, Recall: 68.89%, F1 Score: 68.05%
Threshold: 0.48, Accuracy: 65.69%, Precision: 67.82%, Recall: 67.56%, F1 Score: 67.69%
Threshold: 0.49, Accuracy: 65.58%, Precision: 68.32%, Recall: 65.84%, F1 Score: 67.06%
Threshold: 0.50, Accuracy: 65.18%, Precision: 68.74%, Recall: 63.36%, F1 Score: 65.94%
Threshold: 0.51, Accuracy: 64.37%, Precision: 68.68%, Recall: 60.69%, F1 Score: 64.44%
Threshold: 0.52, Accuracy: 64.67%, Precision: 69.82%, Recall: 59.16%, F1 Score: 64.05%
Threshold: 0.53, Accuracy: 64.06%, Precision: 69.95%, Recall: 56.87%, F1 Score: 62.74%
Threshold: 0.54, Accuracy: 63.55%, Precision: 70.17%, Recall: 54.77%, F1 Score: 61.52%
Threshold: 0.55, Accuracy: 63.05%, Precision: 70.41%, Recall: 52.67%, F1 Score: 60.26%
Threshold: 0.56, Accuracy: 62.34%, Precision: 70.40%, Recall: 50.38%, F1 Score: 58.73%
Threshold: 0.57, Accuracy: 62.44%, Precision: 71.39%, Recall: 49.05%, F1 Score: 58.14%
Threshold: 0.58, Accuracy: 62.23%, Precision: 72.49%, Recall: 46.76%, F1 Score: 56.84%
Threshold: 0.59, Accuracy: 61.12%, Precision: 72.10%, Recall: 43.89%, F1 Score: 54.57%
Threshold: 0.60, Accuracy: 60.00%, Precision: 71.96%, Recall: 40.65%, F1 Score: 51.95%
Threshold: 0.61, Accuracy: 60.00%, Precision: 74.07%, Recall: 38.17%, F1 Score: 50.38%
Threshold: 0.62, Accuracy: 58.27%, Precision: 72.87%, Recall: 34.35%, F1 Score: 46.69%
Threshold: 0.63, Accuracy: 57.06%, Precision: 72.44%, Recall: 31.11%, F1 Score: 43.52%
Threshold: 0.64, Accuracy: 56.35%, Precision: 72.60%, Recall: 28.82%, F1 Score: 41.26%
Threshold: 0.65, Accuracy: 56.04%, Precision: 73.82%, Recall: 26.91%, F1 Score: 39.44%
Threshold: 0.66, Accuracy: 55.33%, Precision: 75.93%, Recall: 23.47%, F1 Score: 35.86%
Threshold: 0.67, Accuracy: 54.62%, Precision: 76.92%, Recall: 20.99%, F1 Score: 32.98%
Threshold: 0.68, Accuracy: 54.21%, Precision: 78.29%, Recall: 19.27%, F1 Score: 30.93%
Threshold: 0.69, Accuracy: 53.20%, Precision: 78.90%, Recall: 16.41%, F1 Score: 27.17%
Threshold: 0.70, Accuracy: 52.49%, Precision: 79.79%, Recall: 14.31%, F1 Score: 24.27%
Threshold: 0.71, Accuracy: 51.98%, Precision: 80.72%, Recall: 12.79%, F1 Score: 22.08%
Threshold: 0.72, Accuracy: 50.96%, Precision: 81.54%, Recall: 10.11%, F1 Score: 18.00%
Threshold: 0.73, Accuracy: 50.36%, Precision: 79.66%, Recall: 8.97%, F1 Score: 16.12%
Threshold: 0.74, Accuracy: 50.15%, Precision: 83.67%, Recall: 7.82%, F1 Score: 14.31%
Threshold: 0.75, Accuracy: 48.93%, Precision: 80.00%, Recall: 5.34%, F1 Score: 10.02%
Threshold: 0.76, Accuracy: 48.53%, Precision: 84.00%, Recall: 4.01%, F1 Score: 7.65%
Threshold: 0.77, Accuracy: 48.12%, Precision: 80.95%, Recall: 3.24%, F1 Score: 6.24%
Threshold: 0.78, Accuracy: 47.92%, Precision: 86.67%, Recall: 2.48%, F1 Score: 4.82%
Threshold: 0.79, Accuracy: 47.61%, Precision: 83.33%, Recall: 1.91%, F1 Score: 3.73%
Threshold: 0.80, Accuracy: 47.41%, Precision: 80.00%, Recall: 1.53%, F1 Score: 3.00%
Threshold: 0.81, Accuracy: 47.31%, Precision: 77.78%, Recall: 1.34%, F1 Score: 2.63%
Threshold: 0.82, Accuracy: 47.31%, Precision: 77.78%, Recall: 1.34%, F1 Score: 2.63%
Threshold: 0.83, Accuracy: 47.21%, Precision: 83.33%, Recall: 0.95%, F1 Score: 1.89%
Threshold: 0.84, Accuracy: 47.01%, Precision: 75.00%, Recall: 0.57%, F1 Score: 1.14%
Threshold: 0.85, Accuracy: 46.90%, Precision: 66.67%, Recall: 0.38%, F1 Score: 0.76%
Threshold: 0.86, Accuracy: 47.01%, Precision: 100.00%, Recall: 0.38%, F1 Score: 0.76%
Threshold: 0.87, Accuracy: 46.90%, Precision: 100.00%, Recall: 0.19%, F1 Score: 0.38%
Threshold: 0.88, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.89, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.90, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.91, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.92, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.93, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.94, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.95, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.96, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.97, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.98, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.99, Accuracy: 46.80%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
