Threshold: 0.10, Accuracy: 57.46%, Precision: 52.33%, Recall: 97.82%, F1 Score: 68.19%
Threshold: 0.11, Accuracy: 58.27%, Precision: 52.83%, Recall: 97.60%, F1 Score: 68.55%
Threshold: 0.12, Accuracy: 58.58%, Precision: 53.04%, Recall: 96.95%, F1 Score: 68.57%
Threshold: 0.13, Accuracy: 58.88%, Precision: 53.25%, Recall: 96.51%, F1 Score: 68.63%
Threshold: 0.14, Accuracy: 59.09%, Precision: 53.38%, Recall: 96.30%, F1 Score: 68.69%
Threshold: 0.15, Accuracy: 59.29%, Precision: 53.53%, Recall: 95.86%, F1 Score: 68.70%
Threshold: 0.16, Accuracy: 59.59%, Precision: 53.74%, Recall: 95.42%, F1 Score: 68.76%
Threshold: 0.17, Accuracy: 59.59%, Precision: 53.79%, Recall: 94.34%, F1 Score: 68.51%
Threshold: 0.18, Accuracy: 59.29%, Precision: 53.63%, Recall: 93.25%, F1 Score: 68.10%
Threshold: 0.19, Accuracy: 59.49%, Precision: 53.78%, Recall: 93.03%, F1 Score: 68.16%
Threshold: 0.20, Accuracy: 59.70%, Precision: 53.93%, Recall: 92.59%, F1 Score: 68.16%
Threshold: 0.21, Accuracy: 60.10%, Precision: 54.22%, Recall: 92.37%, F1 Score: 68.33%
Threshold: 0.22, Accuracy: 61.02%, Precision: 54.86%, Recall: 92.16%, F1 Score: 68.78%
Threshold: 0.23, Accuracy: 61.42%, Precision: 55.18%, Recall: 91.72%, F1 Score: 68.90%
Threshold: 0.24, Accuracy: 61.42%, Precision: 55.22%, Recall: 91.07%, F1 Score: 68.75%
Threshold: 0.25, Accuracy: 61.83%, Precision: 55.53%, Recall: 90.85%, F1 Score: 68.93%
Threshold: 0.26, Accuracy: 61.93%, Precision: 55.65%, Recall: 90.20%, F1 Score: 68.83%
Threshold: 0.27, Accuracy: 61.93%, Precision: 55.69%, Recall: 89.54%, F1 Score: 68.67%
Threshold: 0.28, Accuracy: 62.74%, Precision: 56.30%, Recall: 89.54%, F1 Score: 69.13%
Threshold: 0.29, Accuracy: 63.05%, Precision: 56.59%, Recall: 88.89%, F1 Score: 69.15%
