Threshold: 0.10, Accuracy: 52.28%, Precision: 49.41%, Recall: 100.00%, F1 Score: 66.14%
Threshold: 0.11, Accuracy: 52.39%, Precision: 49.46%, Recall: 100.00%, F1 Score: 66.19%
Threshold: 0.12, Accuracy: 52.79%, Precision: 49.68%, Recall: 100.00%, F1 Score: 66.38%
Threshold: 0.13, Accuracy: 52.99%, Precision: 49.78%, Recall: 99.78%, F1 Score: 66.42%
Threshold: 0.14, Accuracy: 53.30%, Precision: 49.95%, Recall: 99.78%, F1 Score: 66.57%
Threshold: 0.15, Accuracy: 53.81%, Precision: 50.22%, Recall: 99.78%, F1 Score: 66.81%
Threshold: 0.16, Accuracy: 54.11%, Precision: 50.39%, Recall: 99.56%, F1 Score: 66.91%
Threshold: 0.17, Accuracy: 54.52%, Precision: 50.61%, Recall: 99.35%, F1 Score: 67.06%
Threshold: 0.18, Accuracy: 55.03%, Precision: 50.89%, Recall: 99.35%, F1 Score: 67.31%
Threshold: 0.19, Accuracy: 55.33%, Precision: 51.07%, Recall: 99.13%, F1 Score: 67.41%
Threshold: 0.20, Accuracy: 55.74%, Precision: 51.30%, Recall: 99.13%, F1 Score: 67.61%
Threshold: 0.21, Accuracy: 56.35%, Precision: 51.65%, Recall: 99.13%, F1 Score: 67.91%
Threshold: 0.22, Accuracy: 56.35%, Precision: 51.66%, Recall: 98.47%, F1 Score: 67.77%
Threshold: 0.23, Accuracy: 56.75%, Precision: 51.90%, Recall: 98.26%, F1 Score: 67.92%
Threshold: 0.24, Accuracy: 57.26%, Precision: 52.20%, Recall: 98.04%, F1 Score: 68.13%
Threshold: 0.25, Accuracy: 57.36%, Precision: 52.27%, Recall: 97.82%, F1 Score: 68.13%
Threshold: 0.26, Accuracy: 57.66%, Precision: 52.46%, Recall: 97.60%, F1 Score: 68.24%
Threshold: 0.27, Accuracy: 58.48%, Precision: 52.96%, Recall: 97.60%, F1 Score: 68.66%
Threshold: 0.28, Accuracy: 58.78%, Precision: 53.17%, Recall: 96.73%, F1 Score: 68.62%
Threshold: 0.29, Accuracy: 59.09%, Precision: 53.39%, Recall: 96.08%, F1 Score: 68.64%
Threshold: 0.30, Accuracy: 59.29%, Precision: 53.56%, Recall: 94.99%, F1 Score: 68.50%
Threshold: 0.31, Accuracy: 59.70%, Precision: 53.87%, Recall: 94.12%, F1 Score: 68.52%
Threshold: 0.32, Accuracy: 60.20%, Precision: 54.22%, Recall: 93.68%, F1 Score: 68.69%
Threshold: 0.33, Accuracy: 60.51%, Precision: 54.48%, Recall: 92.81%, F1 Score: 68.65%
Threshold: 0.34, Accuracy: 60.81%, Precision: 54.77%, Recall: 91.29%, F1 Score: 68.46%
Threshold: 0.35, Accuracy: 61.12%, Precision: 55.11%, Recall: 89.32%, F1 Score: 68.16%
Threshold: 0.36, Accuracy: 60.71%, Precision: 54.95%, Recall: 87.15%, F1 Score: 67.40%
Threshold: 0.37, Accuracy: 60.71%, Precision: 55.03%, Recall: 85.84%, F1 Score: 67.06%
Threshold: 0.38, Accuracy: 60.81%, Precision: 55.16%, Recall: 84.97%, F1 Score: 66.90%
Threshold: 0.39, Accuracy: 60.81%, Precision: 55.22%, Recall: 84.10%, F1 Score: 66.67%
Threshold: 0.40, Accuracy: 60.51%, Precision: 55.12%, Recall: 82.14%, F1 Score: 65.97%
Threshold: 0.41, Accuracy: 61.62%, Precision: 56.05%, Recall: 81.70%, F1 Score: 66.49%
Threshold: 0.42, Accuracy: 62.23%, Precision: 56.64%, Recall: 80.83%, F1 Score: 66.61%
Threshold: 0.43, Accuracy: 62.74%, Precision: 57.17%, Recall: 79.96%, F1 Score: 66.67%
Threshold: 0.44, Accuracy: 62.74%, Precision: 57.37%, Recall: 78.00%, F1 Score: 66.11%
Threshold: 0.45, Accuracy: 62.74%, Precision: 57.57%, Recall: 76.25%, F1 Score: 65.60%
Threshold: 0.46, Accuracy: 62.64%, Precision: 57.67%, Recall: 74.51%, F1 Score: 65.02%
Threshold: 0.47, Accuracy: 63.15%, Precision: 58.30%, Recall: 73.42%, F1 Score: 65.00%
Threshold: 0.48, Accuracy: 63.55%, Precision: 59.06%, Recall: 71.02%, F1 Score: 64.49%
Threshold: 0.49, Accuracy: 64.37%, Precision: 60.27%, Recall: 69.06%, F1 Score: 64.37%
Threshold: 0.50, Accuracy: 64.16%, Precision: 60.43%, Recall: 66.88%, F1 Score: 63.50%
Threshold: 0.51, Accuracy: 63.35%, Precision: 60.00%, Recall: 64.05%, F1 Score: 61.96%
Threshold: 0.52, Accuracy: 63.05%, Precision: 60.04%, Recall: 61.87%, F1 Score: 60.94%
Threshold: 0.53, Accuracy: 62.84%, Precision: 60.26%, Recall: 59.48%, F1 Score: 59.87%
Threshold: 0.54, Accuracy: 63.05%, Precision: 60.87%, Recall: 57.95%, F1 Score: 59.38%
Threshold: 0.55, Accuracy: 63.45%, Precision: 61.81%, Recall: 56.43%, F1 Score: 59.00%
Threshold: 0.56, Accuracy: 63.76%, Precision: 62.81%, Recall: 54.47%, F1 Score: 58.34%
Threshold: 0.57, Accuracy: 63.45%, Precision: 63.06%, Recall: 52.07%, F1 Score: 57.04%
Threshold: 0.58, Accuracy: 63.35%, Precision: 63.54%, Recall: 50.11%, F1 Score: 56.03%
Threshold: 0.59, Accuracy: 63.45%, Precision: 64.35%, Recall: 48.37%, F1 Score: 55.22%
Threshold: 0.60, Accuracy: 63.35%, Precision: 65.12%, Recall: 45.97%, F1 Score: 53.90%
Threshold: 0.61, Accuracy: 63.05%, Precision: 65.47%, Recall: 43.79%, F1 Score: 52.48%
Threshold: 0.62, Accuracy: 62.54%, Precision: 65.73%, Recall: 40.96%, F1 Score: 50.47%
Threshold: 0.63, Accuracy: 62.44%, Precision: 66.79%, Recall: 38.56%, F1 Score: 48.90%
Threshold: 0.64, Accuracy: 61.73%, Precision: 66.40%, Recall: 36.17%, F1 Score: 46.83%
Threshold: 0.65, Accuracy: 61.52%, Precision: 66.81%, Recall: 34.64%, F1 Score: 45.62%
Threshold: 0.66, Accuracy: 61.83%, Precision: 68.78%, Recall: 33.12%, F1 Score: 44.71%
Threshold: 0.67, Accuracy: 61.02%, Precision: 69.04%, Recall: 29.63%, F1 Score: 41.46%
Threshold: 0.68, Accuracy: 60.51%, Precision: 68.82%, Recall: 27.89%, F1 Score: 39.69%
Threshold: 0.69, Accuracy: 59.90%, Precision: 68.82%, Recall: 25.49%, F1 Score: 37.20%
Threshold: 0.70, Accuracy: 59.80%, Precision: 69.57%, Recall: 24.40%, F1 Score: 36.13%
Threshold: 0.71, Accuracy: 59.80%, Precision: 70.86%, Recall: 23.31%, F1 Score: 35.08%
Threshold: 0.72, Accuracy: 59.80%, Precision: 72.66%, Recall: 22.00%, F1 Score: 33.78%
Threshold: 0.73, Accuracy: 59.39%, Precision: 72.87%, Recall: 20.48%, F1 Score: 31.97%
Threshold: 0.74, Accuracy: 58.88%, Precision: 72.13%, Recall: 19.17%, F1 Score: 30.29%
Threshold: 0.75, Accuracy: 58.78%, Precision: 73.87%, Recall: 17.86%, F1 Score: 28.77%
Threshold: 0.76, Accuracy: 58.07%, Precision: 72.12%, Recall: 16.34%, F1 Score: 26.64%
