Threshold: 0.10, Accuracy: 59.39%, Precision: 55.91%, Recall: 97.62%, F1 Score: 71.10%
Threshold: 0.11, Accuracy: 59.80%, Precision: 56.18%, Recall: 97.42%, F1 Score: 71.26%
Threshold: 0.12, Accuracy: 60.00%, Precision: 56.38%, Recall: 96.43%, F1 Score: 71.16%
Threshold: 0.13, Accuracy: 60.51%, Precision: 56.73%, Recall: 96.23%, F1 Score: 71.38%
Threshold: 0.14, Accuracy: 60.81%, Precision: 56.94%, Recall: 96.03%, F1 Score: 71.49%
Threshold: 0.15, Accuracy: 61.22%, Precision: 57.23%, Recall: 95.83%, F1 Score: 71.66%
Threshold: 0.16, Accuracy: 61.62%, Precision: 57.50%, Recall: 95.83%, F1 Score: 71.88%
Threshold: 0.17, Accuracy: 61.83%, Precision: 57.67%, Recall: 95.44%, F1 Score: 71.90%
Threshold: 0.18, Accuracy: 62.13%, Precision: 57.90%, Recall: 95.24%, F1 Score: 72.02%
Threshold: 0.19, Accuracy: 62.44%, Precision: 58.15%, Recall: 94.84%, F1 Score: 72.10%
Threshold: 0.20, Accuracy: 62.84%, Precision: 58.46%, Recall: 94.64%, F1 Score: 72.27%
Threshold: 0.21, Accuracy: 63.05%, Precision: 58.64%, Recall: 94.25%, F1 Score: 72.30%
Threshold: 0.22, Accuracy: 63.15%, Precision: 58.85%, Recall: 93.06%, F1 Score: 72.10%
Threshold: 0.23, Accuracy: 63.65%, Precision: 59.26%, Recall: 92.66%, F1 Score: 72.29%
Threshold: 0.24, Accuracy: 64.26%, Precision: 59.74%, Recall: 92.46%, F1 Score: 72.59%
Threshold: 0.25, Accuracy: 64.16%, Precision: 59.79%, Recall: 91.47%, F1 Score: 72.31%
Threshold: 0.26, Accuracy: 64.26%, Precision: 59.97%, Recall: 90.67%, F1 Score: 72.20%
Threshold: 0.27, Accuracy: 64.16%, Precision: 60.00%, Recall: 89.88%, F1 Score: 71.96%
Threshold: 0.28, Accuracy: 64.16%, Precision: 60.16%, Recall: 88.69%, F1 Score: 71.69%
