Threshold: 0.10, Accuracy: 58.39%, Precision: 54.63%, Recall: 99.03%, F1 Score: 70.41%
Threshold: 0.11, Accuracy: 58.46%, Precision: 54.68%, Recall: 98.83%, F1 Score: 70.41%
Threshold: 0.12, Accuracy: 58.67%, Precision: 54.81%, Recall: 98.72%, F1 Score: 70.49%
Threshold: 0.13, Accuracy: 59.01%, Precision: 55.02%, Recall: 98.72%, F1 Score: 70.66%
Threshold: 0.14, Accuracy: 59.17%, Precision: 55.12%, Recall: 98.62%, F1 Score: 70.72%
Threshold: 0.15, Accuracy: 59.39%, Precision: 55.27%, Recall: 98.52%, F1 Score: 70.81%
Threshold: 0.16, Accuracy: 59.63%, Precision: 55.43%, Recall: 98.38%, F1 Score: 70.91%
Threshold: 0.17, Accuracy: 59.72%, Precision: 55.48%, Recall: 98.34%, F1 Score: 70.94%
Threshold: 0.18, Accuracy: 59.91%, Precision: 55.61%, Recall: 98.27%, F1 Score: 71.03%
Threshold: 0.19, Accuracy: 60.12%, Precision: 55.74%, Recall: 98.20%, F1 Score: 71.12%
Threshold: 0.20, Accuracy: 60.32%, Precision: 55.89%, Recall: 98.03%, F1 Score: 71.19%
Threshold: 0.21, Accuracy: 60.58%, Precision: 56.06%, Recall: 97.89%, F1 Score: 71.29%
Threshold: 0.22, Accuracy: 60.76%, Precision: 56.18%, Recall: 97.76%, F1 Score: 71.35%
Threshold: 0.23, Accuracy: 60.88%, Precision: 56.27%, Recall: 97.58%, F1 Score: 71.38%
Threshold: 0.24, Accuracy: 61.00%, Precision: 56.37%, Recall: 97.34%, F1 Score: 71.39%
Threshold: 0.25, Accuracy: 61.17%, Precision: 56.49%, Recall: 97.17%, F1 Score: 71.45%
Threshold: 0.26, Accuracy: 61.46%, Precision: 56.70%, Recall: 97.03%, F1 Score: 71.57%
Threshold: 0.27, Accuracy: 61.71%, Precision: 56.88%, Recall: 96.82%, F1 Score: 71.66%
Threshold: 0.28, Accuracy: 61.93%, Precision: 57.07%, Recall: 96.34%, F1 Score: 71.68%
Threshold: 0.29, Accuracy: 61.93%, Precision: 57.11%, Recall: 95.86%, F1 Score: 71.57%
Threshold: 0.30, Accuracy: 61.96%, Precision: 57.18%, Recall: 95.34%, F1 Score: 71.48%
Threshold: 0.31, Accuracy: 62.14%, Precision: 57.32%, Recall: 94.99%, F1 Score: 71.50%
Threshold: 0.32, Accuracy: 62.28%, Precision: 57.49%, Recall: 94.27%, F1 Score: 71.42%
Threshold: 0.33, Accuracy: 62.50%, Precision: 57.70%, Recall: 93.72%, F1 Score: 71.42%
Threshold: 0.34, Accuracy: 62.88%, Precision: 58.03%, Recall: 93.09%, F1 Score: 71.49%
Threshold: 0.35, Accuracy: 63.10%, Precision: 58.28%, Recall: 92.23%, F1 Score: 71.43%
Threshold: 0.36, Accuracy: 63.45%, Precision: 58.63%, Recall: 91.33%, F1 Score: 71.42%
Threshold: 0.37, Accuracy: 63.55%, Precision: 58.82%, Recall: 90.37%, F1 Score: 71.26%
Threshold: 0.38, Accuracy: 63.54%, Precision: 58.98%, Recall: 88.88%, F1 Score: 70.91%
Threshold: 0.39, Accuracy: 63.38%, Precision: 59.03%, Recall: 87.47%, F1 Score: 70.49%
Threshold: 0.40, Accuracy: 63.45%, Precision: 59.26%, Recall: 86.08%, F1 Score: 70.20%
Threshold: 0.41, Accuracy: 63.50%, Precision: 59.52%, Recall: 84.43%, F1 Score: 69.82%
Threshold: 0.42, Accuracy: 63.88%, Precision: 60.02%, Recall: 83.15%, F1 Score: 69.72%
Threshold: 0.43, Accuracy: 64.30%, Precision: 60.63%, Recall: 81.56%, F1 Score: 69.55%
Threshold: 0.44, Accuracy: 64.59%, Precision: 61.21%, Recall: 79.66%, F1 Score: 69.23%
Threshold: 0.45, Accuracy: 64.59%, Precision: 61.55%, Recall: 77.73%, F1 Score: 68.70%
Threshold: 0.46, Accuracy: 64.54%, Precision: 61.99%, Recall: 75.17%, F1 Score: 67.95%
Threshold: 0.47, Accuracy: 65.00%, Precision: 62.88%, Recall: 73.24%, F1 Score: 67.67%
Threshold: 0.48, Accuracy: 64.87%, Precision: 63.39%, Recall: 70.37%, F1 Score: 66.70%
Threshold: 0.49, Accuracy: 64.88%, Precision: 64.01%, Recall: 67.99%, F1 Score: 65.94%
Threshold: 0.50, Accuracy: 64.80%, Precision: 64.73%, Recall: 65.02%, F1 Score: 64.88%
Threshold: 0.51, Accuracy: 64.57%, Precision: 65.28%, Recall: 62.26%, F1 Score: 63.73%
Threshold: 0.52, Accuracy: 64.17%, Precision: 65.78%, Recall: 59.08%, F1 Score: 62.25%
Threshold: 0.53, Accuracy: 63.90%, Precision: 66.64%, Recall: 55.66%, F1 Score: 60.66%
Threshold: 0.54, Accuracy: 63.86%, Precision: 67.68%, Recall: 53.07%, F1 Score: 59.49%
Threshold: 0.55, Accuracy: 63.69%, Precision: 68.64%, Recall: 50.41%, F1 Score: 58.13%
Threshold: 0.56, Accuracy: 63.55%, Precision: 69.77%, Recall: 47.82%, F1 Score: 56.75%
Threshold: 0.57, Accuracy: 63.29%, Precision: 70.57%, Recall: 45.61%, F1 Score: 55.41%
Threshold: 0.58, Accuracy: 62.90%, Precision: 71.60%, Recall: 42.75%, F1 Score: 53.54%
Threshold: 0.59, Accuracy: 62.28%, Precision: 72.57%, Recall: 39.47%, F1 Score: 51.13%
Threshold: 0.60, Accuracy: 61.33%, Precision: 72.94%, Recall: 36.02%, F1 Score: 48.22%
Threshold: 0.61, Accuracy: 60.57%, Precision: 73.65%, Recall: 32.91%, F1 Score: 45.49%
Threshold: 0.62, Accuracy: 60.07%, Precision: 74.98%, Recall: 30.21%, F1 Score: 43.07%
Threshold: 0.63, Accuracy: 59.43%, Precision: 76.15%, Recall: 27.45%, F1 Score: 40.36%
Threshold: 0.64, Accuracy: 58.62%, Precision: 76.97%, Recall: 24.59%, F1 Score: 37.27%
Threshold: 0.65, Accuracy: 57.92%, Precision: 77.75%, Recall: 22.20%, F1 Score: 34.54%
Threshold: 0.66, Accuracy: 57.18%, Precision: 78.49%, Recall: 19.79%, F1 Score: 31.61%
Threshold: 0.67, Accuracy: 56.61%, Precision: 80.16%, Recall: 17.58%, F1 Score: 28.83%
Threshold: 0.68, Accuracy: 55.80%, Precision: 80.22%, Recall: 15.40%, F1 Score: 25.84%
Threshold: 0.69, Accuracy: 55.11%, Precision: 80.58%, Recall: 13.47%, F1 Score: 23.08%
Threshold: 0.70, Accuracy: 54.71%, Precision: 81.82%, Recall: 12.12%, F1 Score: 21.11%
Threshold: 0.71, Accuracy: 54.32%, Precision: 83.78%, Recall: 10.70%, F1 Score: 18.98%
Threshold: 0.72, Accuracy: 53.59%, Precision: 83.55%, Recall: 8.94%, F1 Score: 16.16%
Threshold: 0.73, Accuracy: 53.07%, Precision: 84.23%, Recall: 7.56%, F1 Score: 13.88%
Threshold: 0.74, Accuracy: 52.54%, Precision: 84.19%, Recall: 6.25%, F1 Score: 11.64%
Threshold: 0.75, Accuracy: 52.23%, Precision: 86.86%, Recall: 5.25%, F1 Score: 9.90%
Threshold: 0.76, Accuracy: 51.86%, Precision: 88.03%, Recall: 4.32%, F1 Score: 8.23%
Threshold: 0.77, Accuracy: 51.61%, Precision: 90.43%, Recall: 3.59%, F1 Score: 6.91%
Threshold: 0.78, Accuracy: 51.33%, Precision: 91.40%, Recall: 2.94%, F1 Score: 5.69%
Threshold: 0.79, Accuracy: 51.17%, Precision: 94.74%, Recall: 2.49%, F1 Score: 4.85%
Threshold: 0.80, Accuracy: 50.92%, Precision: 93.44%, Recall: 1.97%, F1 Score: 3.86%
Threshold: 0.81, Accuracy: 50.67%, Precision: 91.49%, Recall: 1.48%, F1 Score: 2.92%
Threshold: 0.82, Accuracy: 50.54%, Precision: 91.89%, Recall: 1.17%, F1 Score: 2.32%
Threshold: 0.83, Accuracy: 50.43%, Precision: 93.10%, Recall: 0.93%, F1 Score: 1.85%
Threshold: 0.84, Accuracy: 50.28%, Precision: 90.00%, Recall: 0.62%, F1 Score: 1.23%
Threshold: 0.85, Accuracy: 50.16%, Precision: 84.62%, Recall: 0.38%, F1 Score: 0.76%
Threshold: 0.86, Accuracy: 50.12%, Precision: 100.00%, Recall: 0.24%, F1 Score: 0.48%
Threshold: 0.87, Accuracy: 50.03%, Precision: 100.00%, Recall: 0.07%, F1 Score: 0.14%
Threshold: 0.88, Accuracy: 50.02%, Precision: 100.00%, Recall: 0.03%, F1 Score: 0.07%
Threshold: 0.89, Accuracy: 50.02%, Precision: 100.00%, Recall: 0.03%, F1 Score: 0.07%
Threshold: 0.90, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.91, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.92, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.93, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.94, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.95, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
