Threshold: 0.10, Accuracy: 52.04%, Precision: 51.05%, Recall: 99.76%, F1 Score: 67.53%
Threshold: 0.11, Accuracy: 52.10%, Precision: 51.08%, Recall: 99.76%, F1 Score: 67.56%
Threshold: 0.12, Accuracy: 52.14%, Precision: 51.09%, Recall: 99.69%, F1 Score: 67.56%
Threshold: 0.13, Accuracy: 52.23%, Precision: 51.14%, Recall: 99.69%, F1 Score: 67.60%
Threshold: 0.14, Accuracy: 52.35%, Precision: 51.21%, Recall: 99.69%, F1 Score: 67.66%
Threshold: 0.15, Accuracy: 52.50%, Precision: 51.29%, Recall: 99.57%, F1 Score: 67.70%
Threshold: 0.16, Accuracy: 52.65%, Precision: 51.37%, Recall: 99.39%, F1 Score: 67.73%
Threshold: 0.17, Accuracy: 52.78%, Precision: 51.44%, Recall: 99.21%, F1 Score: 67.75%
Threshold: 0.18, Accuracy: 52.93%, Precision: 51.52%, Recall: 99.02%, F1 Score: 67.78%
Threshold: 0.19, Accuracy: 53.33%, Precision: 51.74%, Recall: 98.96%, F1 Score: 67.95%
Threshold: 0.20, Accuracy: 53.48%, Precision: 51.83%, Recall: 98.66%, F1 Score: 67.96%
Threshold: 0.21, Accuracy: 53.81%, Precision: 52.02%, Recall: 98.23%, F1 Score: 68.02%
Threshold: 0.22, Accuracy: 54.33%, Precision: 52.32%, Recall: 97.62%, F1 Score: 68.13%
Threshold: 0.23, Accuracy: 54.76%, Precision: 52.58%, Recall: 96.95%, F1 Score: 68.18%
Threshold: 0.24, Accuracy: 55.13%, Precision: 52.82%, Recall: 95.85%, F1 Score: 68.11%
Threshold: 0.25, Accuracy: 55.52%, Precision: 53.08%, Recall: 95.24%, F1 Score: 68.17%
Threshold: 0.26, Accuracy: 56.07%, Precision: 53.43%, Recall: 94.69%, F1 Score: 68.31%
Threshold: 0.27, Accuracy: 56.80%, Precision: 53.92%, Recall: 93.47%, F1 Score: 68.39%
Threshold: 0.28, Accuracy: 57.47%, Precision: 54.41%, Recall: 92.19%, F1 Score: 68.43%
Threshold: 0.29, Accuracy: 58.39%, Precision: 55.06%, Recall: 91.21%, F1 Score: 68.67%
Threshold: 0.30, Accuracy: 58.60%, Precision: 55.33%, Recall: 89.26%, F1 Score: 68.32%
Threshold: 0.31, Accuracy: 59.06%, Precision: 55.77%, Recall: 87.61%, F1 Score: 68.15%
Threshold: 0.32, Accuracy: 60.40%, Precision: 56.83%, Recall: 86.52%, F1 Score: 68.60%
Threshold: 0.33, Accuracy: 61.17%, Precision: 57.64%, Recall: 84.20%, F1 Score: 68.44%
Threshold: 0.34, Accuracy: 61.50%, Precision: 58.16%, Recall: 82.00%, F1 Score: 68.05%
Threshold: 0.35, Accuracy: 61.59%, Precision: 58.58%, Recall: 79.13%, F1 Score: 67.32%
Threshold: 0.36, Accuracy: 62.42%, Precision: 59.59%, Recall: 77.12%, F1 Score: 67.23%
Threshold: 0.37, Accuracy: 62.75%, Precision: 60.31%, Recall: 74.62%, F1 Score: 66.70%
Threshold: 0.38, Accuracy: 63.27%, Precision: 61.28%, Recall: 72.12%, F1 Score: 66.26%
Threshold: 0.39, Accuracy: 63.79%, Precision: 62.22%, Recall: 70.23%, F1 Score: 65.98%
Threshold: 0.40, Accuracy: 63.58%, Precision: 62.72%, Recall: 66.93%, F1 Score: 64.76%
Threshold: 0.41, Accuracy: 63.54%, Precision: 63.47%, Recall: 63.82%, F1 Score: 63.64%
Threshold: 0.42, Accuracy: 63.61%, Precision: 64.15%, Recall: 61.68%, F1 Score: 62.89%
Threshold: 0.43, Accuracy: 63.88%, Precision: 65.32%, Recall: 59.18%, F1 Score: 62.10%
Threshold: 0.44, Accuracy: 63.91%, Precision: 66.31%, Recall: 56.56%, F1 Score: 61.05%
Threshold: 0.45, Accuracy: 63.88%, Precision: 67.38%, Recall: 53.81%, F1 Score: 59.84%
Threshold: 0.46, Accuracy: 63.73%, Precision: 68.35%, Recall: 51.13%, F1 Score: 58.50%
Threshold: 0.47, Accuracy: 63.33%, Precision: 68.89%, Recall: 48.63%, F1 Score: 57.01%
Threshold: 0.48, Accuracy: 62.66%, Precision: 69.16%, Recall: 45.70%, F1 Score: 55.03%
Threshold: 0.49, Accuracy: 62.29%, Precision: 69.85%, Recall: 43.26%, F1 Score: 53.43%
Threshold: 0.50, Accuracy: 61.87%, Precision: 70.54%, Recall: 40.76%, F1 Score: 51.66%
Threshold: 0.51, Accuracy: 61.20%, Precision: 70.83%, Recall: 38.07%, F1 Score: 49.52%
Threshold: 0.52, Accuracy: 60.68%, Precision: 71.50%, Recall: 35.51%, F1 Score: 47.45%
Threshold: 0.53, Accuracy: 59.73%, Precision: 71.30%, Recall: 32.58%, F1 Score: 44.72%
Threshold: 0.54, Accuracy: 59.21%, Precision: 71.33%, Recall: 30.81%, F1 Score: 43.03%
Threshold: 0.55, Accuracy: 58.76%, Precision: 71.26%, Recall: 29.35%, F1 Score: 41.57%
Threshold: 0.56, Accuracy: 58.54%, Precision: 73.10%, Recall: 27.03%, F1 Score: 39.47%
Threshold: 0.57, Accuracy: 58.02%, Precision: 73.87%, Recall: 24.83%, F1 Score: 37.17%
Threshold: 0.58, Accuracy: 57.69%, Precision: 74.23%, Recall: 23.55%, F1 Score: 35.76%
Threshold: 0.59, Accuracy: 57.38%, Precision: 75.64%, Recall: 21.78%, F1 Score: 33.82%
Threshold: 0.60, Accuracy: 56.83%, Precision: 76.17%, Recall: 19.89%, F1 Score: 31.54%
Threshold: 0.61, Accuracy: 56.47%, Precision: 77.32%, Recall: 18.30%, F1 Score: 29.60%
Threshold: 0.62, Accuracy: 55.86%, Precision: 77.75%, Recall: 16.41%, F1 Score: 27.10%
Threshold: 0.63, Accuracy: 55.52%, Precision: 78.73%, Recall: 15.13%, F1 Score: 25.38%
Threshold: 0.64, Accuracy: 54.85%, Precision: 78.70%, Recall: 13.30%, F1 Score: 22.76%
Threshold: 0.65, Accuracy: 54.70%, Precision: 80.08%, Recall: 12.51%, F1 Score: 21.64%
Threshold: 0.66, Accuracy: 54.42%, Precision: 81.39%, Recall: 11.47%, F1 Score: 20.11%
Threshold: 0.67, Accuracy: 54.09%, Precision: 81.31%, Recall: 10.62%, F1 Score: 18.78%
Threshold: 0.68, Accuracy: 53.84%, Precision: 81.82%, Recall: 9.88%, F1 Score: 17.64%
Threshold: 0.69, Accuracy: 53.57%, Precision: 82.68%, Recall: 9.03%, F1 Score: 16.28%
Threshold: 0.70, Accuracy: 53.36%, Precision: 82.74%, Recall: 8.48%, F1 Score: 15.38%
Threshold: 0.71, Accuracy: 52.96%, Precision: 82.55%, Recall: 7.50%, F1 Score: 13.76%
Threshold: 0.72, Accuracy: 52.90%, Precision: 84.17%, Recall: 7.14%, F1 Score: 13.16%
Threshold: 0.73, Accuracy: 52.53%, Precision: 83.74%, Recall: 6.28%, F1 Score: 11.69%
Threshold: 0.74, Accuracy: 52.41%, Precision: 84.96%, Recall: 5.86%, F1 Score: 10.96%
Threshold: 0.75, Accuracy: 52.23%, Precision: 85.44%, Recall: 5.37%, F1 Score: 10.10%
Threshold: 0.76, Accuracy: 51.89%, Precision: 86.05%, Recall: 4.51%, F1 Score: 8.58%
Threshold: 0.77, Accuracy: 51.74%, Precision: 85.19%, Recall: 4.21%, F1 Score: 8.02%
Threshold: 0.78, Accuracy: 51.62%, Precision: 85.33%, Recall: 3.90%, F1 Score: 7.47%
Threshold: 0.79, Accuracy: 51.49%, Precision: 85.51%, Recall: 3.60%, F1 Score: 6.91%
Threshold: 0.80, Accuracy: 51.34%, Precision: 86.67%, Recall: 3.17%, F1 Score: 6.12%
Threshold: 0.81, Accuracy: 51.25%, Precision: 87.27%, Recall: 2.93%, F1 Score: 5.67%
Threshold: 0.82, Accuracy: 51.22%, Precision: 91.67%, Recall: 2.68%, F1 Score: 5.22%
Threshold: 0.83, Accuracy: 50.98%, Precision: 90.00%, Recall: 2.20%, F1 Score: 4.29%
Threshold: 0.84, Accuracy: 50.82%, Precision: 90.91%, Recall: 1.83%, F1 Score: 3.59%
Threshold: 0.85, Accuracy: 50.67%, Precision: 89.29%, Recall: 1.53%, F1 Score: 3.00%
Threshold: 0.86, Accuracy: 50.64%, Precision: 88.89%, Recall: 1.46%, F1 Score: 2.88%
Threshold: 0.87, Accuracy: 50.58%, Precision: 91.30%, Recall: 1.28%, F1 Score: 2.53%
Threshold: 0.88, Accuracy: 50.55%, Precision: 95.00%, Recall: 1.16%, F1 Score: 2.29%
Threshold: 0.89, Accuracy: 50.46%, Precision: 94.12%, Recall: 0.98%, F1 Score: 1.93%
Threshold: 0.90, Accuracy: 50.34%, Precision: 92.31%, Recall: 0.73%, F1 Score: 1.45%
Threshold: 0.91, Accuracy: 50.27%, Precision: 90.91%, Recall: 0.61%, F1 Score: 1.21%
Threshold: 0.92, Accuracy: 50.18%, Precision: 87.50%, Recall: 0.43%, F1 Score: 0.85%
Threshold: 0.93, Accuracy: 50.18%, Precision: 87.50%, Recall: 0.43%, F1 Score: 0.85%
Threshold: 0.94, Accuracy: 50.12%, Precision: 83.33%, Recall: 0.31%, F1 Score: 0.61%
Threshold: 0.95, Accuracy: 50.09%, Precision: 80.00%, Recall: 0.24%, F1 Score: 0.49%
Threshold: 0.96, Accuracy: 50.03%, Precision: 100.00%, Recall: 0.06%, F1 Score: 0.12%
Threshold: 0.97, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.98, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
Threshold: 0.99, Accuracy: 50.00%, Precision: 0.00%, Recall: 0.00%, F1 Score: 0.00%
